,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,-1985.6486558463557,-1990.580765085101,-1569.0995650422801,-2111.574947882506,-925.198080464322,-2441.5891019586948,-1381.718934983222,-501.79078235653424,-1483.8298893656377,-2477.869707345021,-2181.5777864781094,-2177.686551741719,-1970.325629215301,-1757.6620526639172,-1531.87266081332,-580.6265784168088,-1976.995865583866,-2492.8573454981124,-904.0718668131985,-2001.8941761341096,-1705.3239423264226,-2343.593589591939,-2478.3982077601518,-1503.4093482500389,-2262.467177282183,-2130.275438492373,-1878.754164619585,-1761.2140557962437,-751.9366529830356,-685.6566365699118,-976.385469374799
1,-1577.7047505320618,-2022.480759780215,-1573.6605724218668,-2150.688372101358,-981.7441625877107,-2127.2181610978355,-1456.8514196512801,-500.0,-1356.612105954036,-2500.0,-2197.32983274719,-1065.0780948512204,-2035.8322097363184,-1872.364009015303,-1894.631692838055,-500.0,-2403.0340341786123,-1279.338168291119,-701.3340006073832,-2500.0,-1173.0972485633993,-2298.537673514673,-2500.0,-1398.9972645567934,-1291.0597518383308,-1705.950627257124,-1846.7681435492768,-1763.6774878242936,-1556.1184552898144,-500.0,-2070.41305212158
2,-1970.7892498391755,-2148.0675485531438,-2205.412322930664,-2500.0,-500.0,-2422.433943978323,-1978.8612894587932,-500.0,-1296.2573461015697,-2500.0,-2500.0,-2168.0106894212454,-2016.7905178254,-1853.6312824230781,-1643.792525835964,-500.0,-2200.6773586597155,-2299.4927199657836,-1001.8092598546259,-2500.0,-1922.2126326218054,-2500.0,-2500.0,-1131.9835905885004,-2485.364609688876,-2312.5732682756657,-2190.4327986522653,-2202.4552699605674,-669.6715743428758,-500.0,-2301.3098127710746
3,-873.9722415644062,-2498.3825337345993,-2278.3657249851112,-2500.0,-500.0,-2500.0,-1714.0492356608765,-500.0,-1448.0640152023038,-2500.0,-2500.0,-2500.0,-2301.716188416617,-2500.0,-1846.208149219313,-500.0,-2382.199260880371,-2500.0,-885.0873605798524,-2500.0,-1990.1327618566577,-2500.0,-2500.0,-933.9033537447361,-2383.6563152203967,-2500.0,-2412.9422903573304,-2074.4836586687693,-500.0,-500.0,-2148.9264691579165
4,-694.6882924239476,-2500.0,-2500.0,-2453.8329230482495,-500.0,-2500.0,-2255.4536708938367,-500.0,-2017.8675722657013,-2500.0,-2500.0,-1107.1062772179946,-2500.0,-2500.0,-1717.0175335817783,-500.0,-2500.0,-2500.0,-681.7388586224971,-2500.0,-1838.794656987891,-2500.0,-2500.0,-782.8670027495602,-2500.0,-2500.0,-2500.0,-2500.0,-630.0576930297866,-500.0,-2500.0
5,-500.0,-2500.0,-2500.0,-1135.7247343925517,-500.0,-2500.0,-2344.8891021103373,-500.0,-2500.0,-2500.0,-2500.0,-1695.480453756888,-2500.0,-2500.0,-1767.0370418954249,-678.0557147820483,-2500.0,-2500.0,-500.0,-2500.0,-2013.0399065396257,-2500.0,-2500.0,-1105.3084010001319,-2500.0,-2500.0,-2500.0,-2500.0,-500.0,-500.0,-2500.0
6,-500.0,-2500.0,-2500.0,-1327.2334125539442,-500.0,-2414.6415012243183,-2462.1674552639347,-500.0,-2500.0,-2500.0,-2500.0,-1934.3208275851455,-2500.0,-2500.0,-1898.5112324280753,-692.4724452122105,-2500.0,-2500.0,-649.9358813349882,-2500.0,-1953.253579578981,-2500.0,-2500.0,-1251.4032858942858,-2500.0,-2500.0,-2500.0,-2500.0,-500.0,-500.0,-2500.0
7,-500.0,-2500.0,-2500.0,-500.0,-500.0,-2500.0,-2334.6683997481655,-500.0,-2500.0,-2500.0,-2500.0,-1598.815646139967,-2500.0,-2500.0,-1803.454203062482,-1024.1879220324822,-2500.0,-2500.0,-500.0,-2500.0,-2186.358705433788,-2500.0,-2500.0,-1320.9678608387235,-2500.0,-2500.0,-2500.0,-2500.0,-500.0,-896.0588659857045,-2500.0
8,-500.0,-2500.0,-2500.0,-500.0,-500.0,-2468.467069391439,-2272.2193450046366,-500.0,-2476.0082447756163,-2500.0,-2500.0,-1705.7551654740164,-2500.0,-2500.0,-2142.555740535649,-1081.965540962676,-2500.0,-2500.0,-658.203971820255,-2500.0,-2265.40374334165,-2500.0,-2500.0,-1439.4757376230982,-2500.0,-2463.5728395701876,-2416.4977391610805,-2500.0,-500.0,-999.4554793372004,-2500.0
9,-500.0,-2500.0,-2500.0,-500.0,-500.0,-2434.305273548028,-2496.264845304586,-500.0,-2500.0,-2500.0,-2500.0,-2323.997779107942,-2500.0,-2500.0,-2222.6838316910716,-2461.1079227674427,-2500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2500.0,-1460.7580483703464,-2500.0,-2500.0,-2463.0744753020444,-2500.0,-500.0,-1155.0117225210568,-2500.0
10,-500.0,-2500.0,-2500.0,-500.0,-500.0,-2423.0970087449227,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2299.9012043104567,-2429.027957311392,-2500.0,-2367.5874040811564,-2500.0,-2500.0,-2500.0,-579.9913908407683,-2500.0,-2500.0,-2500.0,-2500.0,-1384.5883297346475,-2500.0,-2488.108458599704,-2462.4345617029917,-2500.0,-500.0,-1745.2616181457684,-2500.0
11,-500.0,-2500.0,-2500.0,-1428.2770533812188,-500.0,-2441.8761905562837,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2484.6008724515705,-2446.6308575529324,-2500.0,-2237.80370222017,-2500.0,-2500.0,-2500.0,-1029.9458236354035,-2500.0,-2491.565591847948,-2500.0,-2500.0,-1116.772558850358,-2500.0,-2485.1216014578745,-2467.3605707924667,-2500.0,-1060.4395771814413,-1537.5952489811054,-2500.0
12,-500.0,-2500.0,-2500.0,-1115.6060938214127,-500.0,-2453.1036794059396,-2497.922190125099,-500.0,-2500.0,-2500.0,-2500.0,-2343.0293164488576,-2420.195863945519,-2500.0,-2250.9320912491085,-2500.0,-2500.0,-2500.0,-1223.1293565319538,-2500.0,-2170.6956100461707,-2500.0,-2500.0,-1424.3028139952119,-2500.0,-2495.6220905563277,-2500.0,-2500.0,-1182.163212610447,-1670.290308936036,-1656.810703790501
13,-500.0,-2500.0,-2488.3331468963925,-647.8139979781619,-500.0,-2462.5061823527913,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-1953.1073766508873,-2474.1809949973444,-2500.0,-2271.508165216668,-1745.629942828015,-2500.0,-2500.0,-2078.9256685771606,-2500.0,-2039.439919200604,-2500.0,-2500.0,-1594.7957789468999,-2500.0,-2500.0,-2491.123675151633,-2500.0,-1124.5181558483944,-1478.3681598972462,-2245.2978078787537
14,-500.0,-2500.0,-2497.831419918603,-1043.8080895594828,-500.0,-829.1162906888576,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2229.556791277562,-2500.0,-2500.0,-2237.572968405528,-2310.693492741902,-2500.0,-2500.0,-2433.1584149766386,-2500.0,-2008.0493263455403,-2500.0,-2500.0,-1575.3426598902904,-2500.0,-2500.0,-2500.0,-2500.0,-1613.3280470227407,-1612.9079003847157,-2240.5605320744453
15,-500.0,-2500.0,-2493.0755890201576,-1308.7039051570544,-500.0,-1044.320855248861,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2213.791039719029,-2500.0,-2500.0,-2408.7550527501226,-2214.676699018652,-2500.0,-2500.0,-2246.4607169542587,-2500.0,-1958.6164415386736,-2500.0,-2500.0,-1433.0622388632326,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-1777.1062435228037,-2231.8572272736947
16,-500.0,-2500.0,-2439.525905962262,-1266.6946379856947,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2088.7674413023033,-2500.0,-2500.0,-2289.263196682428,-2380.962280341571,-2500.0,-2500.0,-2500.0,-2500.0,-1739.9204220191139,-2500.0,-2500.0,-1335.4906932854676,-2500.0,-2500.0,-2235.756477673427,-2500.0,-1879.9005886702469,-1935.3608100681438,-1201.4472724133784
17,-500.0,-2500.0,-2500.0,-1887.5049914254641,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2209.9502617870075,-2500.0,-2500.0,-2291.5724987901012,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-1976.56001641364,-2500.0,-2500.0,-1214.2293078707216,-2500.0,-2500.0,-2320.055948630154,-2500.0,-2487.1794730714223,-2122.777450869061,-1620.6030744556242
18,-500.0,-2500.0,-2459.5193314850253,-1921.0095579083554,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2424.571697250816,-2500.0,-2500.0,-2249.4595458333847,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-1855.0863564259064,-2500.0,-2500.0,-1052.3771493375311,-2500.0,-2500.0,-2349.1469223164895,-2500.0,-2302.5359072148067,-2498.5959165016325,-1436.1558878533294
19,-500.0,-2500.0,-2500.0,-1612.4349353924868,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2396.241849874791,-2500.0,-2500.0,-2113.4444822060696,-2500.0,-2500.0,-2135.3197420398938,-2500.0,-2500.0,-1558.6361048110725,-2500.0,-2500.0,-818.5182099046569,-2500.0,-2495.470955892545,-2261.6654549792806,-2500.0,-2492.863729130362,-2141.8798869655416,-1196.226329480875
20,-500.0,-2500.0,-2500.0,-1321.2934853553063,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2235.536948960504,-2500.0,-2500.0,-2171.7694390303927,-2500.0,-2500.0,-2270.608623622455,-2500.0,-2500.0,-1798.2297674116337,-2500.0,-2500.0,-637.112124148176,-2500.0,-2500.0,-1958.276786434822,-2500.0,-2500.0,-2293.4880962703614,-1176.2208957825396
21,-500.0,-2500.0,-2500.0,-1188.6689094844469,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2234.5980776655174,-2500.0,-2500.0,-2500.0,-2494.7260992953443,-2500.0,-2478.2512503052612,-2500.0,-2500.0,-1756.4209645685385,-2500.0,-2500.0,-1091.8106538108902,-2500.0,-2500.0,-1971.0473816790968,-2500.0,-2500.0,-2262.018702941006,-1209.07831072086
22,-500.0,-2500.0,-2500.0,-1070.280231785682,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2417.391649505566,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2482.9858445739624,-2500.0,-2500.0,-1974.3180588470834,-2500.0,-2500.0,-950.6602069944881,-2500.0,-2500.0,-1921.7732402774036,-2500.0,-2500.0,-2379.0386278914307,-1177.9518905542427
23,-500.0,-2500.0,-2500.0,-1038.345189998954,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2478.5415011757214,-2500.0,-2084.6377337532062,-2500.0,-2500.0,-1185.5671799196189,-2500.0,-2500.0,-1854.3002678865398,-2500.0,-2489.3823053905026,-2500.0,-1247.8294181162523
24,-500.0,-2500.0,-2500.0,-1622.9012347618927,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2249.4138558846307,-2500.0,-2500.0,-2182.748718392919,-2484.1665855587576,-2500.0,-2095.426411170865,-2500.0,-2500.0,-1314.2284524223987,-2500.0,-2497.1435777671454,-2058.3472932893915,-2500.0,-2494.0543485536746,-2500.0,-1276.9880867749318
25,-500.0,-2500.0,-2486.8024913790387,-1925.1716724705382,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2417.448156036126,-2500.0,-2500.0,-2464.116209585735,-2498.5647163101803,-2500.0,-2010.2764174761298,-2491.8492637664835,-2500.0,-1735.5050394888485,-2500.0,-2500.0,-1829.0913524775106,-2500.0,-2500.0,-2388.7826435911784,-2500.0,-2494.1878397651503,-2303.188114855988,-1254.7173647706736
26,-500.0,-2500.0,-2500.0,-2072.625869173478,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2401.5492100669294,-2500.0,-2500.0,-1818.8592852882557,-2414.560973738728,-2500.0,-1625.1633026521877,-2500.0,-2500.0,-1965.202787187852,-2500.0,-2500.0,-2391.818461545956,-2500.0,-2500.0,-2500.0,-1298.720127882645
27,-500.0,-2500.0,-2489.5657545036415,-2367.4678263420096,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2432.3803220892987,-2500.0,-2500.0,-1640.4152023111146,-2500.0,-2500.0,-1413.0401835190353,-2500.0,-2500.0,-1918.394213349185,-2500.0,-2497.8328319924562,-2500.0,-2500.0,-2500.0,-2212.315350457237,-758.9575174136681
28,-500.0,-2500.0,-2486.323519676417,-1786.1387365255014,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2462.392078449423,-2500.0,-2500.0,-1567.7365645905447,-2500.0,-2500.0,-1524.5471160929887,-2500.0,-2500.0,-1734.3674888732862,-2500.0,-2500.0,-2446.1102464472474,-2500.0,-2500.0,-2500.0,-766.8311913518701
29,-500.0,-2500.0,-2500.0,-1970.7504142574214,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-1429.1375592753138,-2500.0,-2500.0,-1237.5784115953395,-2500.0,-2500.0,-1507.4898010339089,-2500.0,-2500.0,-2364.931321659579,-2500.0,-2500.0,-2500.0,-500.0
30,-500.0,-2500.0,-2500.0,-2411.137286244061,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2458.2279102494895,-2500.0,-2500.0,-1573.3074209990725,-2500.0,-2500.0,-1248.013480287855,-2500.0,-2500.0,-1606.1027060080455,-2500.0,-2500.0,-2500.0,-2484.695442939667,-2500.0,-2500.0,-765.4236597399679
31,-500.0,-2500.0,-2500.0,-1942.5725442548292,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-1698.5790419481204,-2500.0,-2500.0,-1248.2379364294802,-2500.0,-2500.0,-1524.5773705234624,-2500.0,-2500.0,-2386.4338771116313,-2480.6869159885186,-2500.0,-2500.0,-651.3488326156355
32,-500.0,-2500.0,-2500.0,-1920.9207528145353,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-1081.8593743993767,-2500.0,-2500.0,-1395.4667209471836,-2500.0,-2500.0,-1583.39324379065,-2500.0,-2496.2380297666773,-2092.581301272735,-2500.0,-2499.7057456007115,-2500.0,-630.497624353101
33,-500.0,-2500.0,-2500.0,-2482.318916129177,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-1348.5219418402535,-2500.0,-2500.0,-1399.224368946111,-2500.0,-2500.0,-1549.3698161415437,-2500.0,-2500.0,-1928.826424660671,-2497.586251007967,-2500.0,-2455.03769104482,-537.0114945200319
34,-500.0,-2500.0,-2500.0,-1844.4094258911935,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-1285.5663802877339,-2500.0,-2500.0,-1239.0218913361257,-2500.0,-2500.0,-1661.0493914291972,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2443.387980149221,-562.586380563736
35,-500.0,-2500.0,-2500.0,-1915.6430660841618,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-1369.6267825159393,-2500.0,-2500.0,-1413.031162046219,-2500.0,-2500.0,-1686.613483392982,-2500.0,-2499.9689945909513,-2500.0,-2500.0,-2500.0,-2420.1739542881846,-543.299030822111
36,-500.0,-2500.0,-2494.389532552347,-1964.7288673272974,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2463.302757978635,-2499.7068475650303,-2500.0,-1436.4439984937699,-2500.0,-2500.0,-1392.1106484337374,-2500.0,-2500.0,-1854.5836030242367,-2500.0,-2500.0,-2500.0,-2500.0,-2497.9425223625426,-2500.0,-824.7887409208276
37,-500.0,-2500.0,-2491.579448483135,-1717.209068424566,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2459.6335093786906,-2499.626392437209,-2500.0,-1190.9943591274534,-2500.0,-2500.0,-1424.5831159230163,-2500.0,-2500.0,-2045.9654724916961,-2500.0,-2500.0,-2500.0,-2500.0,-2496.8913762715047,-2432.543424182563,-754.318084166931
38,-500.0,-2500.0,-2500.0,-2242.6272915875384,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2453.233084958155,-2500.0,-2500.0,-1244.6345546775751,-2500.0,-2500.0,-1545.327383546322,-2500.0,-2500.0,-2021.0165330647337,-2500.0,-2499.8456192067015,-2500.0,-2500.0,-2496.017488824775,-2490.948141033741,-754.0882352079161
39,-500.0,-2500.0,-2500.0,-2369.752503866071,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2437.0717362985183,-2500.0,-2500.0,-1066.4827767605955,-2500.0,-2500.0,-1394.6856034426737,-2500.0,-2500.0,-1898.2159679088902,-2500.0,-2497.731839875111,-2500.0,-2500.0,-2494.9194207071946,-2500.0,-528.5091579949741
40,-500.0,-2500.0,-2500.0,-2302.61031485963,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2467.717898146021,-2500.0,-2500.0,-1332.3623442026255,-2497.551802009936,-2500.0,-1253.5243191053391,-2500.0,-2500.0,-1875.9760178844272,-2500.0,-2500.0,-2500.0,-2492.32222694104,-2500.0,-2478.6913151661684,-500.0
41,-500.0,-2500.0,-2500.0,-2079.3748266006314,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2464.5128616594857,-2500.0,-2500.0,-1173.9484274954534,-2442.4477918071116,-2500.0,-1174.25970457136,-2500.0,-2500.0,-1869.3779591559264,-2500.0,-2500.0,-2465.3545777114327,-2495.684734679237,-2499.5863660640152,-2489.4790679939956,-632.1941215897458
42,-500.0,-2500.0,-2500.0,-1957.837499723517,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2474.27094725513,-2500.0,-2500.0,-1205.2190775599054,-2496.6540459632347,-2500.0,-1093.1458716167592,-2500.0,-2500.0,-1822.8454652550433,-2500.0,-2499.3819558264804,-2500.0,-2493.1189915398836,-2500.0,-2336.07182379712,-527.6769549194354
43,-500.0,-2500.0,-2498.5911106299777,-2117.6237216477916,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-1181.8309106904785,-2500.0,-2500.0,-1098.5144099289123,-2500.0,-2500.0,-1832.7578213077272,-2500.0,-2500.0,-2498.5849140930695,-2500.0,-2500.0,-2500.0,-500.0
44,-500.0,-2500.0,-2499.7909235873512,-2018.3322507117296,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-1201.108426358508,-2500.0,-2500.0,-1369.175494851551,-2500.0,-2500.0,-1911.6405061711964,-2500.0,-2500.0,-2500.0,-2497.30877451391,-2500.0,-2500.0,-533.4202430501152
